"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","stimulus","response","timeout","failed_images","failed_audio","failed_video","category","letter","correct_response","correct_response_key","trial_counter","current_image","test_triplet","foil_triplet","correct","firstSequencePaths","secondSequencePaths"
"","null","image-keyboard-response","519","2.0.0","531923","pbtb0o7fkvk","camel","stimuli/kitchen_29.jpg","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","520","2.0.0","532924","pbtb0o7fkvk","camel","stimuli/street_56.jpg","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","521","2.0.0","533939","pbtb0o7fkvk","camel","stimuli/stream_45.jpg","null","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","522","2.0.0","534953","pbtb0o7fkvk","camel","<p></p>","null","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","523","2.0.0","535966","pbtb0o7fkvk","camel","<p>Sequence 2</p>","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","524","2.0.0","536967","pbtb0o7fkvk","camel","stimuli/kitchen_29.jpg","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","525","2.0.0","537979","pbtb0o7fkvk","camel","stimuli/field_18.jpg","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","526","2.0.0","538981","pbtb0o7fkvk","camel","stimuli/desert_63.jpg","null","","","","","","","","","","","","","","",""
"","714","html-keyboard-response","527","2.0.0","539696","pbtb0o7fkvk","camel","<p>Press '1' if the first sequence was familiar, '2' if the second was.</p>","1","","","","","","","1","","","","[""D"",""E"",""F""]","[""D"",""H"",""L""]","true","[""<p>Sequence 1</p>"",""stimuli/kitchen_29.jpg"",""stimuli/street_56.jpg"",""stimuli/stream_45.jpg""]","[""<p>Sequence 2</p>"",""stimuli/kitchen_29.jpg"",""stimuli/field_18.jpg"",""stimuli/desert_63.jpg""]"
"","null","html-keyboard-response","528","2.0.0","540826","pbtb0o7fkvk","camel","<p>Sequence 1</p>","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","529","2.0.0","541837","pbtb0o7fkvk","camel","stimuli/kitchen_29.jpg","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","530","2.0.0","542840","pbtb0o7fkvk","camel","stimuli/street_56.jpg","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","531","2.0.0","543852","pbtb0o7fkvk","camel","stimuli/stream_45.jpg","null","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","532","2.0.0","544977","pbtb0o7fkvk","camel","<p></p>","null","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","533","2.0.0","545979","pbtb0o7fkvk","camel","<p>Sequence 2</p>","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","534","2.0.0","546991","pbtb0o7fkvk","camel","stimuli/bridge_55.jpg","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","535","2.0.0","548006","pbtb0o7fkvk","camel","stimuli/coast_64.jpg","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","536","2.0.0","549019","pbtb0o7fkvk","camel","stimuli/bathroom_63.jpg","null","","","","","","","","","","","","","","",""
"","384","html-keyboard-response","537","2.0.0","549405","pbtb0o7fkvk","camel","<p>Press '1' if the first sequence was familiar, '2' if the second was.</p>","1","","","","","","","1","","","","[""D"",""E"",""F""]","[""G"",""K"",""C""]","true","[""<p>Sequence 1</p>"",""stimuli/kitchen_29.jpg"",""stimuli/street_56.jpg"",""stimuli/stream_45.jpg""]","[""<p>Sequence 2</p>"",""stimuli/bridge_55.jpg"",""stimuli/coast_64.jpg"",""stimuli/bathroom_63.jpg""]"
"","null","html-keyboard-response","538","2.0.0","550450","pbtb0o7fkvk","camel","<p>Sequence 1</p>","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","539","2.0.0","551466","pbtb0o7fkvk","camel","stimuli/kitchen_29.jpg","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","540","2.0.0","552480","pbtb0o7fkvk","camel","stimuli/street_56.jpg","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","541","2.0.0","553494","pbtb0o7fkvk","camel","stimuli/stream_45.jpg","null","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","542","2.0.0","554505","pbtb0o7fkvk","camel","<p></p>","null","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","543","2.0.0","555519","pbtb0o7fkvk","camel","<p>Sequence 2</p>","null","","","","","","","","","","","","","","",""
